0 32 64 96 128 160 192 224 256 384 512 640 768 896 1024
10 241.32 124.75 86.52 65.38 56.82 45.47 40.58 35.77 25.55 23.64 41.13 58.27 64.4 65.57
12 200.9 101.76 70.63 53.59 45.07 37.44 33.54 29.38 22.89 32.36 61.03 65.24 65.43 66.56
14 170.29 90.41 62.02 47.48 41.2 34.01 29.44 27.14 24.94 53.08 62.91 66.1 66.11 65.97
16 149.41 79.41 54.46 41.82 35.66 29.73 26.19 23.89 40.11 62.7 66.39 59.16 59.56 59.48
18 132.91 70.67 48.58 37.44 31.83 26.66 23.93 22.9 56.53 65.47 66.86 52.7 53.78 56.48
20 121.82 65.43 46.64 35.83 31.86 25.57 24.52 24.14 61.72 63.06 69.78 52.89 57.39 56.66
30 84.88 45.29 31.94 24.98 24.82 27.48 47.64 62.48 67.28 62.18 57.75 55.43 58.63 60.06
40 64.97 35.77 25.29 23.44 47.37 62.21 66.57 63.28 58.46 62.38 66.89 58.1 61.82 62.17
60 45.09 25.01 27.61 62.91 66.87 67.06 67.19 61.19 65.44 59.64 63.94 58.39 61.99 64.05
80 35.6 23.49 64.02 64.34 68.57 59.46 57.73 59.54 59.7 62.7 64.09 54.28 59.81 60.95
100 30.4 46.9 68.49 71.94 61.6 60.18 65.04 68.5 63.3 65.68 66.13 57.45 61.18 65.25
150 25.21 66.15 65.14 60.17 68 62.29 68.54 66.63 64.54 64.2 65.32 55.45 62.84 62.01
200 42.34 72.02 60.82 68.63 67.31 64.92 64.13 66.46 62.7 65.72 64.33 53.39 58.76 61.51
300 40.77 59.8 64.06 67.42 65.7 64.83 67.92 65.33 63.35 63.22 62.05 52.45 59.99 59.28
400 45.78 68.72 65.83 66.55 66.72 63.94 64.6 65.75 62.02 62.36 60.7 51.68 56.7 58.39
500 50.86 67.75 66.04 68.55 64.87 66.68 66 66.48 62.47 63.27 61.57 51.37 56.53 58.64
1000 50.3 68.99 67.52 67.33 68.14 66.2 66.79 66.17 59.58 61.71 54.03 46.38 51.42 50.78
2000 57.74 67.78 67.47 67.84 68.99 62.58 64.92 65.15 53.26 49.72 41.36 39.71 43.69 45.33
3000 64.49 68.2 68.55 67.64 67.77 60.55 59.35 56.09 47.99 43.97 35.06 39.01 44.43 41.85
4000 64.88 68.17 67.47 67.77 63.33 54.95 52.02 48.5 44.05 41.26 31.15 29.68 36.2 34.76
6000 66.33 68.14 66.13 58.26 62.45 49.03 44.75 43.22 40.74 36.16 25.07 28.15 30.3 30.67
8000 66.76 68.34 57.22 48.95 43.16 46.44 40.7 40.51 36.28 34.12 22.9 24.46 25.03 25.63
10000 68.51 64.99 62.15 42.93 57.01 37.97 33.94 31.2 25.59 21.26 19.35 22.74 22.1 22.68
20000 62.49 60.34 37.66 32.3 48.75 26.26 21.35 19.52 18.89 20.4 22.17 30.21 30.16 30.69
50000 27.32 48.59 41.94 34.78 16.72 17.32 18.29 19.44 24.74 31.05 38.23 53.95 56.45 57.65
100000 20.66 33.22 16.95 18.48 20.78 23.21 25.95 28.71 40.56 54.36 69.11 93 84.96 77.84
150000 20.52 17.31 19.22 23.35 26.62 30.63 34.86 38.77 57.25 72.02 76.2 95.02 87.38 80.58
200000 20.87 18.96 22.43 27.35 32.64 37.99 43.56 49.32 68.28 73.33 79.79 97.12 89.71 83.11
